timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653695778140,46,资金转账,200,OK,资金系统 2-968,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,46,0,1
1653695778186,11,获取交易信息,200,OK,资金系统 2-968,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,11,0,0
1653695778197,12,获取账户余额,200,OK,资金系统 2-968,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,12,0,0
1653695778221,26,个人开户,200,OK,开户相关 1-972,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,26,0,0
1653695778247,16,资金账户开户,200,OK,开户相关 1-972,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,16,0,0
1653695778263,18,法人证券账户开户,200,OK,开户相关 1-972,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,18,0,0
1653695778280,42,资金转账,200,OK,资金系统 2-969,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,42,0,1
1653695778322,13,获取交易信息,200,OK,资金系统 2-969,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,13,0,0
1653695778335,15,获取账户余额,200,OK,资金系统 2-969,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,15,0,0
1653695778352,29,个人开户,200,OK,开户相关 1-973,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,29,0,1
1653695778381,20,资金账户开户,200,OK,开户相关 1-973,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,20,0,0
1653695778401,20,法人证券账户开户,200,OK,开户相关 1-973,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,20,0,0
1653695778417,45,资金转账,200,OK,资金系统 2-970,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,45,0,1
